Name,ID,Nearest Town,County,URL
Little Spruce,1015000,White Hawk,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01015000
Little Turtle,1021700,Bennettville,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01021700
Lone,1012500,Aitkin,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01012500
Long,1004700,Ball Bluff,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01004700
Long,1008900,Glen,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01008900
Long,1010100,Palisade,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01010100
Loon,1002400,McGregor,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01002400
Mallard,1014900,Bennettville,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01014900
Mandy,1006800,East Lake,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01006800
McKinney,1019900,Swatara,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01019900
Minnewawa,1003300,McGregor,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01003300
Monson,1012600,Glory,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01012600
Moose,1014000,Haypoint,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01014000
Moulton,1021200,Emily,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01021200
Mud,1002900,Grayling,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01002900
Mud,1003500,Minnewawa,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01003500
Nelson,1001000,Tamarack,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01001000
Newstrom,1009700,Kimberly,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01009700
Nord,1011700,Aitkin,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01011700
Otter,1019600,Swatara,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01019600
Pickerel,1018200,Aitkin,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01018200
Pine,1000100,Finlayson,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01000100
Pine Island,1016700,Aitkin,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01016700
Poor Farm,1018400,Aitkin,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01018400
Porcupine,1006600,Dads Corner,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01006600
Portage,1006900,Kimberly,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01006900
Previs,1014100,Hill City,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01014100
Rabbit,1009100,Glen,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01009100
Raspberry,1011800,Aitkin,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01011800
Rat,1007700,Palisade,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01007700
Rat House,1005300,Ball Bluff,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01005300
Red,1010700,Palisade,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01010700
Remote,1003800,McGregor,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01003800
Rice,1000500,Tamarack,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01000500
Rice,1006700,Thor,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01006700
Ripple,1014600,Aitkin,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01014600
Rock,1007200,McGregor,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01007200
Round,1002300,Tamarack,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01002300
Round,1007000,McGregor,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01007000
Round,1013700,Aitkin,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01013700
Round,1020400,Garrison,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01020400
Round,1021900,Bennettville,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01021900
Sanders,1007600,Libby,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01007600
Sandy River,1006000,Minnewawa,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01006000
Savanna,1001400,McGregor,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01001400
Section 25,1012700,Glory,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01012700
Section Ten,1011500,Aitkin,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01011500
Section Twelve,1012000,Rossburg,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01012000
Sheriff,1002700,Lawler,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01002700
Shovel,1020000,Shovel Lake,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01020000
Shumway,1001500,Tamarack,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01001500
Sissabagamah,1012900,Aitkin,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01012900
Sitas,1013400,Waukenabo,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01013400
Sjodin,1031600,Glory,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01031600
Spectacle,1015600,White Hawk,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01015600
Spirit,1017800,Bennettville,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01017800
Starry,1019000,Little Pine,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01019000
Starvation,1002800,East Lake,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01002800
Steamboat,1007102,McGregor,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01007102
Stony,1001700,Balsam,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01001700
Studhorse,1011000,Hill City,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01011000
Sugar,1008700,Glen,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01008700
Sunset,1020800,Aitkin,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01020800
Swamp,1009200,Glen,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01009200
Sweetman,1012200,Glory,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01012200
Taylor,1010900,Hill City,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01010900
Taylor,1016300,Aitkin,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01016300
Thirty-One,1011400,Glen,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01011400
Thornton,1017400,Deerwood (Crow Wing),Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01017400
Townline,1008300,Palisade,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01008300
Townline,1020700,Aitkin,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01020700
Turner,1007400,McGregor,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01007400
Turtle,1011300,Glory,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01011300
Twenty,1008500,Malmo,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01008500
Unnamed,1009500,Glen,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01009500
Unnamed,1023900,Glory,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01023900
Unnamed,1024200,Glory,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01024200
Unnamed,1028500,Waukenabo,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01028500
Unnamed,1031400,Glory,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01031400
Unnamed,1035900,,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01035900
Unnamed,1037200,Aitkin,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01037200
Unnamed,1041300,East Lake,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01041300
Unnamed,1041900,Waukenabo,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01041900
Unnamed,1042100,Minnewawa,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01042100
Unnamed,1043100,Hill City,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01043100
Unnamed,1044700,Rossburg,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01044700
Unnamed,1044800,,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01044800
Unnamed,1044900,,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01044900
Unnamed,1045000,,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01045000
Unnamed,1045100,,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01045100
Unnamed,1045200,,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01045200
Upper Blind,1033100,Waldeck,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01033100
Vanduse,1005800,Jacobson,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01005800
Wakefield,1003600,Jacobson,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01003600
Washburn,1011100,Hill City,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01011100
Waukenabo,1013600,Palisade,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01013600
West,1028700,Waukenabo,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01028700
White Elk,1014800,Bain,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01014800
Wilkins,1010200,Palisade,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01010200
Wolf,1001900,Tamarack,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01001900
Amelia,2001400,Centerville (Anoka),Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02001400
Baldwin,2001300,Circle Pines,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02001300
Bass,2013500,Nowthen,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02013500
Bear,2013100,Nowthen,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02013100
Boot,2002800,Linwood,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02002800
Bunker,2009000,Andover,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02009000
Burns,2012200,Elk River,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02012200
Cedar,2001200,,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02001200
Centerville,2000600,Centerville (Anoka),Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02000600
Club West,2076400,Blaine,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02076400
